10390,281,Xã Đồng Tân,10390
10393,281,Xã Tảo Dương Văn,10393
10396,281,Xã Vạn Thái,10396
10399,281,Xã Minh Đức,10399
10402,281,Xã Hòa Lâm,10402
10405,281,Xã Hòa Xá,10405
10408,281,Xã Trầm Lộng,10408
10411,281,Xã Kim Đường,10411
10414,281,Xã Hòa Nam,10414
10417,281,Xã Hòa Phú,10417
10420,281,Xã Đội Bình,10420
10423,281,Xã Đại Hùng,10423
10426,281,Xã Đông Lỗ,10426
10429,281,Xã Phù Lưu,10429
10432,281,Xã Đại Cường,10432
10435,281,Xã Lưu Hoàng,10435
10438,281,Xã Hồng Quang,10438
10441,282,Thị trấn Đại Nghĩa,10441
10444,282,Xã Đồng Tâm,10444
10447,282,Xã Thượng Lâm,10447
10450,282,Xã Tuy Lai,10450
10453,282,Xã Phúc Lâm,10453
10456,282,Xã Mỹ Thành,10456
10459,282,Xã Bột Xuyên,10459
10462,282,Xã An Mỹ,10462
10465,282,Xã Hồng Sơn,10465
10468,282,Xã Lê Thanh,10468
10471,282,Xã Xuy Xá,10471
10474,282,Xã Phùng Xá,10474
10477,282,Xã Phù Lưu Tế,10477
10480,282,Xã Đại Hưng,10480
10483,282,Xã Vạn Kim,10483
10486,282,Xã Đốc Tín,10486
10489,282,Xã Hương Sơn,10489
10492,282,Xã Hùng Tiến,10492
10495,282,Xã An Tiến,10495
10498,282,Xã Hợp Tiến,10498
10501,282,Xã Hợp Thanh,10501
10504,282,Xã An Phú,10504
688,24,Phường Quang Trung,00688
691,24,Phường Trần Phú,00691
692,24,Phường Ngọc Hà,00692
694,24,Phường Nguyễn Trãi,00694
697,24,Phường Minh Khai,00697
700,24,Xã Ngọc Đường,00700
946,24,Xã Phương Độ,00946
949,24,Xã Phương Thiện,00949
712,26,Thị trấn Phó Bảng,00712
715,26,Xã Lũng Cú,00715
718,26,Xã Má Lé,00718
721,26,Thị trấn Đồng Văn,00721
724,26,Xã Lũng Táo,00724
727,26,Xã Phố Là,00727
730,26,Xã Thài Phìn Tủng,00730
733,26,Xã Sủng Là,00733
736,26,Xã Xà Phìn,00736
739,26,Xã Tả Phìn,00739
742,26,Xã Tả Lủng,00742
745,26,Xã Phố Cáo,00745
748,26,Xã Sính Lủng,00748
751,26,Xã Sảng Tủng,00751
754,26,Xã Lũng Thầu,00754
757,26,Xã Hố Quáng Phìn,00757
760,26,Xã Vần Chải,00760
763,26,Xã Lũng Phìn,00763
766,26,Xã Sủng Trái,00766
769,27,Thị trấn Mèo Vạc,00769
772,27,Xã Thượng Phùng,00772
775,27,Xã Pải Lủng,00775
778,27,Xã Xín Cái,00778
781,27,Xã Pả Vi,00781
784,27,Xã Giàng Chu Phìn,00784
787,27,Xã Sủng Trà,00787
790,27,Xã Sủng Máng,00790
